oid,sn_score,is_sn
401202200003642,1.0000001,0
542213200034857,1.0000001,1
865207100015096,1.0000001,1
596201100027005,1.0000001,1
822206300005084,1.0000001,1
724202400028737,1.0000001,1
294207400006820,1.0000001,1
787208200001569,1.0000001,1
534215300008018,1.0000001,1
482202300012526,1.0000001,1
546202300007091,1.0000001,1
347204300020155,1.0000001,1
621212100023032,0.9900001,1
399212200034897,0.9900001,0
818201200003900,0.9900001,1
732201300011460,0.9900001,0
602204200014931,0.9900001,1
581207200019779,0.9900001,1
792205100023859,0.9900001,1
441203300009345,0.9900001,1
848210400015993,0.9900001,1
707202200014145,0.9900001,1
389213200000732,0.9900001,1
622209200012975,0.9900001,1
581209100007490,0.9900001,1
807208200044195,0.9900001,0
490205300059049,0.9900001,1
865202100032167,0.9900001,1
332202100052966,0.9900001,0
400211400040657,0.9900001,1
279213400036550,0.9900001,0
675204300011383,0.9900001,1
824211100005163,0.99000007,1
807208300052354,0.99000007,0
694203100019130,0.99000007,1
787207100010603,0.98000014,1
832209300058776,0.98000014,0
296216400020432,0.98000014,1
538213100045334,0.98000014,0
730216200033188,0.98000014,0
776204300009669,0.98000014,1
581208100001299,0.98000014,1
332204400033086,0.98000014,0
820215100007180,0.98000014,1
847204100008781,0.98000014,1
732216200016234,0.98000014,0
866205300011295,0.98000014,1
522203200005195,0.98000014,1
337215100014847,0.98000014,1
359216200042704,0.98000014,0
356209300008195,0.98000014,0
824210400037810,0.98000014,1
810212300017855,0.98000014,0
709215200026110,0.98000014,1
698213100038869,0.98000014,0
649208200011887,0.98000014,1
718214200003467,0.98000014,1
596214300011412,0.98000014,0
533202300011210,0.98000014,1
383213100143918,0.98000014,0
632208400002463,0.98000014,1
859205100027389,0.98000014,1
800210200011121,0.98000014,1
601201200015888,0.98000014,1
640213100063429,0.98000014,0
628216100020468,0.98000014,1
540213100085740,0.98000014,0
690211200006915,0.98000014,1
589207300080492,0.98000014,1
729201300018736,0.98000014,0
753205100010277,0.98000014,1
497215400018898,0.9800001,1
785212200018835,0.9800001,1
332201400094303,0.9800001,0
757212300001886,0.9800001,1
875205300016126,0.9800001,1
634203200029995,0.9800001,0
807208300058951,0.9800001,0
720206400015976,0.9800001,1
674201400022670,0.9800001,1
491210400020400,0.9800001,1
736216300017369,0.9800001,0
534207100001001,0.9800001,1
404209100010835,0.9800001,1
683205400053649,0.9800001,1
807208200059503,0.9800001,0
625208200004352,0.9800001,0
601216200035637,0.9800001,1
628207100032166,0.9800001,1
576212300020806,0.9800001,1
692212300007696,0.9800001,1
807208300044839,0.9800001,0
387213100047469,0.9800001,0
541208400051194,0.9800001,0
813212300002720,0.9800001,0
863202300002955,0.9800001,1
748201300005157,0.9800001,1
675215300025996,0.9800001,1
708215100000477,0.9800001,1
399212300017296,0.97000015,0
