ra,dec,type,subtype,name,SDSS-ID,objID,sp-ID,oids
134.276471853384,19.1481992713113,NLS1.2,,,5071-301-1-0133-0102,1237667252921489920,2281-53711-0618,"[Decimal('568209400007092'), Decimal('569212300006799')]"
134.3739583,6.4569972,ABS,BZG,5BZG J0857+0627,3031-301-4-0096-0057,1237658492796400128,1189-52668-0625,[]
134.4575,1.59175,Em,BZG,5BZB J0857+0135,1462-301-4-0061-0076,1237651753990419968,468-51912-0616,[Decimal('466204300000846')]
134.479896,33.100519,ABS,,2MASX J08575521+3306024       ,3560-301-5-0184-0195,1237660765376740096,1272-52989-0315,[Decimal('665206100007637')]
134.674030715695,10.6894770733288,LINER/HII,,,5972-301-2-0127-0289,1237671123223510016,2575-54085-0125,[Decimal('518207300008264')]
134.710238,6.292975,LINER/HII,,NGC 2718                      ,3478-301-3-0122-0104,1237660412111610112,1191-52674-0265,[]
134.71075,6.29308,HII,,Mrk 703,3478-301-3-0122-0104,1237660412111610112,1191-52674-0265,[]
134.768837,46.018783,Em,,SDSS J085904.51+460106.8      ,2863-301-5-0092-0898,1237657771778500096,7515-56781-0247,[]
134.81308,32.95336,STAR,,Mrk 392,3606-301-4-0076-0112,1237660962401280000,1272-52989-0309,[]
134.8356667,0.7866889,Continual without z,BZB,5BZB J0859+0047,6749-301-5-0124-0392,1237674462023510016,469-51913-0162,[Decimal('415215100002538')]
134.848382232702,47.602913773986,HII,,,2243-301-3-0129-0055,1237655107827460096,5735-55980-0379,[Decimal('750208100012642')]
134.8775833,62.2918083,Continual without z,BZB,5BZB J0859+6217,4264-301-1-0200-0210,1237663786887280128,5713-56686-0598,[Decimal('816212400005856')]
134.910046,14.493308,Unknown,,SDSS J085938.36+142936.5      ,5194-301-3-0143-0650,1237667782276869888,5295-55978-0263,[]
135.028454,8.722247,ABS,,NVSS J090006+084319           ,4380-301-1-0132-0328,1237664285099030016,5294-55922-0890,[]
135.08925,41.1396889,QSO,BZQ,5BZQ J0900+4108,2830-301-6-0185-0218,1237657630587549952,1200-52668-0306,[Decimal('709209300009423')]
135.105724389388,39.0649238557864,S1.9/HII,,,2830-301-2-0177-0127,1237657628439539968,1199-52703-0041,[Decimal('709205300024449')]
135.132929,16.241531,Unknown,,SDSS J090031.97+161425.5      ,5815-301-6-0088-0020,1237670451058569984,2435-53828-0192,[]
135.272171,29.029572,LINER,,3C 213.1                      ,4335-301-5-0170-0310,1237664093975470080,1934-53357-0402,[Decimal('618215100013706')]
135.273879,41.375247,QSO,,SDSS J090105.73+412230.9      ,2830-301-6-0187-0148,1237657630587680000,4604-55983-0066,[Decimal('709209300000696')]
135.299367,4.816456,QSO1.5,,SDSS J090111.85+044858.8      ,3015-301-3-0142-0170,1237658423543069952,1192-52649-0275,[Decimal('466212400023474')]
135.2994167,4.8163583,QSO,BZQ,5BZQ J0901+0448,3015-301-3-0142-0170,1237658423543069952,1192-52649-0275,[Decimal('466212400023474')]
135.335296,49.788525,QSO,,87GB 085751.3+495918          ,2137-301-6-0245-0336,1237654654179140096,7304-56745-0330,[]
135.340117,38.466925,ABS,,2MASX J09012165+3828013       ,2963-301-5-0096-0383,1237658201275490048,936-52705-0402,[Decimal('709201200006434')]
135.344487,34.728483,Em,,SDSS J090122.69+344344.9      ,3530-301-2-0128-0112,1237660634913430016,1211-52964-0108,[]
135.3576667,-0.6175583,QSO,BZQ,5BZQ J0901-0037,756-301-2-0130-0383,1237648720674289920,470-51929-0260,[Decimal('415215400008757')]
135.37556613,55.65459437,ABS,,,1331-301-6-0217-0129,1237651192433669888,448-51900-0038,[Decimal('785211400023726')]
135.377121,12.201444,ABS,,NVSS J090130+121205           ,6004-301-5-0131-0449,1237671262273329920,2575-54085-0446,[]
135.4125833,37.8795278,ABS,BZG,5BZB J0901+3752,2961-301-4-0150-0214,1237658192152229888,2400-53765-0563,[Decimal('709201200004368')]
135.49312,60.15172,Sy1.9/HII,,Mrk 18,4204-301-3-0206-0015,1237663530263369984,1785-54439-0615,[]
135.520133,61.053156,Unknown,,SDSS J090204.82+610311.6      ,4208-301-4-0211-0920,1237663547980440064,5713-56686-0387,[Decimal('816208400027410')]
135.5330833,45.7424972,ABS,BZG,5BZB J0902+4544,2825-301-4-0201-0105,1237657608040019968,898-52606-0263,[]
135.580375,54.04925,QSO,BZQ,5BZQ J0902+5402,1331-301-3-0210-0266,1237651190822599936,,[Decimal('785207100013057')]
135.582767,9.835264,ABS,,SDSS J090219.93+095006.0      ,4380-301-3-0137-0354,1237664286173100032,1738-53051-0519,[]
135.6120833,20.8462194,Continual without z,BZB,5BZB J0902+2050,5071-301-4-0145-0057,1237667254532890112,2284-53708-0206,[]
135.620646,48.649231,QSO1.2,,FIRST J090228.9+483857        ,2243-301-4-0136-0030,1237655108364790016,764-52238-0601,[]
135.645262,20.738219,Em,,2MASX J09023494+2044182       ,5061-301-4-0147-0294,1237667211583350016,2285-53700-0407,[Decimal('569212100008619')]
135.653225,52.063328,Em,,2MASX J09023684+5203488       ,2074-301-5-0120-0048,1237654383051140096,552-51992-0471,[]
135.746962,6.328633,ABS,,2MASX J09025919+0619444       ,3031-301-3-0105-0186,1237658492260120064,1192-52649-0448,[Decimal('466211200000418')]
135.766625,46.8511389,QSO,BZQ,5BZQ J0903+4651,2825-301-6-0206-0151,1237657609114089984,5736-55984-0564,[]
135.8112917,40.93325,ABS,BZG,5BZG J0903+4055,2864-301-4-0195-0172,1237657775543350016,1199-52703-0570,"[Decimal('709209400029829'), Decimal('710212300004815')]"
135.81871,18.26108,HII,,Mrk 1221,5112-301-2-0174-0174,1237667429554710016,2283-53729-0040,[Decimal('569208100024148')]
135.85462,20.66761,HII,,Mrk 1222,5071-301-3-0146-0166,1237667253996090112,2285-53700-0446,[Decimal('569212100016062')]
135.89275,28.8997778,Unknown,BZU,5BZB J0903+2853,4335-301-4-0173-0226,1237664093438799872,1934-53357-0537,[Decimal('618215400000989')]
135.90515,4.527767,ABS,,SDSS J090337.30+043141.4      ,2986-301-3-0116-0466,1237658298987310080,1192-52649-0131,[]
135.983370913782,19.2073150791565,STAR F,,,5112-301-4-0178-0011,1237667430628720128,5769-56246-0400,[]
135.9902,43.84475,STAR,,B3 0900+440                   ,2740-301-5-0218-0035,1237657243505779968,831-52294-0408,"[Decimal('709213100001770'), Decimal('710216200002110')]"
135.994,51.8501889,QSO,BZQ,5BZQ J0903+5151,1895-301-4-0201-0186,1237653613720430080,7304-56745-0830,[Decimal('785203400009365')]
136.008492,19.467786,ABS,,2MASX J09040202+1928036       ,5061-301-1-0146-0078,1237667209972669952,2285-53700-0493,[]
136.012383,52.460039,ABS,,2MASX J09040296+5227361       ,1895-301-5-0204-0150,1237653614257499904,552-51992-0502,[Decimal('785203100016380')]
136.03858,17.07622,ABS,,Mrk 1223,5137-301-4-0154-0079,1237667538001329920,2435-53828-0434,[]
136.0498,15.500533,Em,,SDSS J090411.98+153002.1      ,5815-301-4-0092-0701,1237670449985090048,5300-55982-0525,[]
136.064867,42.634661,QSO,,CRATES J0904+4238 NED01       ,2777-301-2-0197-0303,1237657400807579904,4603-55999-0564,"[Decimal('709213400011401'), Decimal('710216300006534')]"
136.068146,1.226633,Unknown,,SDSS J090416.35+011335.8      ,6574-301-5-0132-0385,1237673710404760064,3819-55540-0454,[]
136.145725,25.005081,Em,,2MASX J09043502+2500176       ,4569-301-4-0168-0245,1237665098460819968,2086-53401-0483,[]
136.151379,51.124428,QSO,,SDSS J090436.35+510728.1      ,2074-301-3-0117-0067,1237654381977200128,552-51992-0149,[Decimal('750215200009932')]
136.192017,2.146906,QSO1.2,,SDSS J090446.00+020842.9      ,2125-301-1-0116-0319,1237654599946729984,3816-55272-0982,[]
136.38183516,23.58326784,HII,,,5045-301-5-0173-0386,1237667143402449920,2287-53705-0341,[Decimal('618202200003724')]
136.39575,13.9684389,Continual without z,BZB,5BZB J0905+1358,5935-301-5-0135-0016,1237670965920849920,2436-54054-0313,[Decimal('518214300004886')]
136.401875,47.0962194,Em,BZG,5BZG J0905+4705,2863-301-5-0102-0277,1237657771779160064,898-52606-0525,[Decimal('750207200015764')]
136.416603928012,4.57580354207415,ABS,,,2986-301-3-0119-0129,1237658298987510016,1192-52649-0103,[]
136.424,28.8245278,QSO,BZQ,5BZQ J0905+2849,4469-301-3-0174-0053,1237664668427610112,1934-53357-0639,[Decimal('618214300001855')]
