ZTFID,OID
ZTF22abmdqzf,353201200031866
ZTF22abmcnmz,766213400048228
ZTF22abmcfrc,643214400025045
ZTF22abkybyq,698208100016459
ZTF22abkxbeo,449202400029306
ZTF22abkpkej,348213300008008
ZTF22abkpgye,406212300026270
ZTF22abkjegi,696205100001102
ZTF22abkdzvi,390206300038909
ZTF22abkbjsb,568205200037903
ZTF22abkaaje,662213200026552
ZTF22abjzweh,749202300011186
ZTF22abjpfpl,304203300018243
ZTF22abizuah,413212200018920
ZTF22abizgac,552203300003483
ZTF22abiysva,500202100021653
ZTF22abiyeae,504208400012830
ZTF22abiwwyf,500204300027017
ZTF22abiwpck,549201400015803
ZTF22abivqkc,441205300024878
ZTF22abivkuq,724216400025359
ZTF22abivebe,636216100034934
ZTF22abitewv,614206400034934
ZTF22abiozoc,848204100013651
ZTF22abibgsa,395205300003595
ZTF22abhyzjq,546215400014614
ZTF22abhxptj,727211100039825
ZTF22abhvfio,601213200017967
ZTF22abhsxph,857212300020354
ZTF22abhldat,645208100040974
ZTF22abhjdlx,781209300023512
ZTF22abgndif,555205400027697
ZTF22abgiayt,388201200030899
ZTF22abgdjwt,335209400038813
ZTF22abfzarj,744213400019359
ZTF22abfzaqd,857207300007305
ZTF22abfzaed,699212400029158
ZTF22abfyyew,296203100006720
ZTF22abfyrxh,500210300020955
ZTF22abfynfa,294211400011974
ZTF22abfwxtr,600202300021524
ZTF22abfwthv,391213300012373
ZTF22abfwihc,727210100063431
ZTF22abfwign,799202200025134
ZTF22abfweew,763201100031069
ZTF22abfvxlz,441213300015734
ZTF22abfvvpv,340202100026902
ZTF22abfvsbt,761214200023473
ZTF22abfviaz,493207200001921
ZTF22abfuyqr,440202300022090
ZTF22abfuwel,596203300011066
ZTF22abftfug,349204100020253
ZTF22abfskre,501213400014443
ZTF22abfrbnl,645212400006296
ZTF22abfoehf,681214300043238
ZTF22abfjlue,688207400103092
ZTF22abeyzcl,848207300038693
ZTF22abewvtv,462206300035805
ZTF22abeipbi,537207200039767
