amplitude_magn_r,ln1p_anderson_darling_normal_magn_r,beyond_1_std_magn_r,beyond_2_std_magn_r,cusum_magn_r,lg_inter_percentile_range_2_magn_r,lg_inter_percentile_range_10_magn_r,lg_inter_percentile_range_25_magn_r,kurtosis_magn_r,arcsinh_linear_fit_slope_magn_r,lg_linear_fit_slope_sigma_magn_r,ln1p_linear_fit_reduced_chi2_magn_r,arcsinh_linear_trend_magn_r,lg_linear_trend_sigma_magn_r,lg_linear_trend_noise_magn_r,mean_magn_r,median_absolute_deviation_magn_r,period_0_magn_r,period_s_to_n_0_magn_r,period_1_magn_r,period_s_to_n_1_magn_r,period_2_magn_r,period_s_to_n_2_magn_r,period_3_magn_r,period_s_to_n_3_magn_r,period_4_magn_r,period_s_to_n_4_magn_r,periodogram_amplitude_magn_r,periodogram_beyond_2_std_magn_r,periodogram_beyond_3_std_magn_r,periodogram_standard_deviation_magn_r,ln1p_chi2_magn_r,arcsinh_skew_magn_r,standard_deviation_magn_r,stetson_K_magn_r,weighted_mean_magn_r,lg_otsu_mean_diff_magn_r,otsu_std_lower_magn_r,otsu_std_upper_magn_r,otsu_lower_to_all_ratio_magn_r,mean_variance_flux_r,excess_variance_flux_r,bazin_fit_mag_full_amplitude_flux_r,bazin_fit_baseline_amplitude_ratio_flux_r,bazin_fit_rise_time_flux_r,bazin_fit_fall_time_flux_r,ln1p_bazin_fit_reduced_chi2_flux_r,oid,artefact,is_sn,regular_obj,akb_ot,label
1.0110912,4.403977,0.129683,0.08213256,0.27841505,0.25028566,-0.087942526,-0.7015272,4.5207663,0.00058100576,-5.886079,6.275113,0.00032904145,-4.597312,-0.43706065,17.447104,0.0996418,2653.8267,35.044807,0.99751854,30.854733,1032.0437,28.892262,0.99618125,28.546413,0.9996657,27.162024,41.56652,0.017261505,0.01052475,2.338813,6.707674,-1.5531065,0.4075741,0.7206148,17.256008,0.0875069,0.27952397,0.15152663,0.10230547,0.5808486,0.33705968,15.939383,0.4216247,849767.7,381.99518,5.8105326,648211100028029,0.0,1.0,0.0,0.0,1
1.2095728,2.8034537,0.13284133,0.036900368,0.27176428,0.19241765,-0.23565897,-0.5455683,11.987527,-0.0010149154,-4.8667417,3.5532196,-0.00035864525,-4.3194675,-0.5288836,19.509636,0.13158417,1.1925845,5.503069,0.8578752,5.4335694,0.46399105,4.910111,0.862703,4.894868,6.621272,4.884364,24.681112,0.03969574,0.006134033,7.3556705,4.01555,-1.7906287,0.32462797,0.6338999,19.098549,0.019414268,0.49506813,0.1809176,0.05904059,0.53152716,0.27347597,18.353647,0.7066847,38.057022,234.21664,2.7765691,257215400030742,0.0,1.0,0.0,0.0,1
1.8789263,1.0094317,0.352518,0.035971224,0.4077071,0.49254388,0.3563619,0.08652658,-0.22743702,0.00047850754,-4.4974055,5.4918227,-0.000300849,-3.702689,-0.06725618,19.57866,0.62530327,1058.238,33.419434,0.9965128,29.07696,0.9990585,28.575842,1.0008928,28.29916,290.16202,27.09919,21.20237,0.017993927,0.007385254,1.2462354,5.4913654,-0.45334303,0.8605627,0.86038995,18.468897,0.15352854,0.58324444,0.332189,0.5683453,1.0308629,1.0594848,29.247425,14284.884,1e-04,6389.1787,5.237516,648208200031651,0.0,1.0,0.0,0.0,1
0.9751997,3.6709275,0.1362916,0.026941363,0.1496216,0.022443896,-0.4265368,-0.7682275,16.774614,-0.0003062909,-5.2190804,3.1714559,-9.6720585e-05,-4.7784114,-0.63546354,19.539896,0.08389282,412.87698,22.380327,0.9995946,20.675426,2322.433,18.584894,1.0004559,18.346048,0.99766225,18.12912,13.595327,0.036994934,0.018486023,1.1779046,3.3282633,-1.9341204,0.23742028,0.5364605,19.389492,0.07374123,0.32551718,0.14796032,0.02377179,0.35155544,0.11731618,19.10257,0.2875743,1326.8568,1325.7797,2.5584877,648204400006405,0.0,1.0,0.0,0.0,1
1.133873,2.984599,0.16009852,0.039408866,0.19292134,0.16008955,-0.30774322,-0.63952094,10.554859,-0.00016451805,-5.3516636,5.023585,-6.502307e-05,-4.5131245,-0.5362474,18.462088,0.11406231,1037.0082,16.559721,0.9982965,15.283603,0.9989911,14.841205,777.75616,14.562586,622.2049,12.213851,17.194149,0.044158936,0.015144348,1.9673575,5.0431614,-1.6817551,0.29215726,0.58962166,18.264454,0.04091062,0.39020154,0.17925976,0.04187192,0.42643857,0.18045501,18.555798,1.9145913,239.16095,485.81018,4.243943,781209400032182,0.0,1.0,0.0,0.0,1
1.1479273,3.4828737,0.13333334,0.046846848,0.19990927,0.2200247,-0.23052315,-0.55800426,8.241197,-0.00030667946,-4.963873,3.0957308,-0.00010396908,-4.5868607,-0.4927426,20.232193,0.123703,1541.9647,29.396908,0.9965841,24.94849,1.0006261,23.824696,881.1227,23.54013,0.9984124,23.23128,20.068863,0.02217102,0.01146698,1.3402584,3.1571572,-1.6422869,0.32591867,0.6481145,19.94242,0.040480696,0.3842322,0.18536688,0.05765766,0.47599393,0.21262382,19.285206,0.32276157,319.8917,387.76288,2.3868876,649212400016833,0.0,1.0,0.0,0.0,1
1.2828894,3.073995,0.13286713,0.06993007,0.271223,0.33995754,-0.025530986,-0.43527007,4.650325,-0.00033285058,-4.6990128,3.7733538,-7.0105074e-05,-4.2561493,-0.31719455,20.434647,0.17440128,0.9979321,39.090202,490.1422,38.616543,1164.0878,38.07817,0.99937785,36.557835,0.9991634,35.98511,24.40172,0.023052216,0.009304047,1.229256,3.7920902,-1.4955279,0.4822379,0.8076992,19.727367,0.123725176,0.4475847,0.22574781,0.10489511,0.75190216,0.5488368,18.0816,0.20019907,10.473104,24.329376,2.1683176,781207200022044,0.0,1.0,0.0,0.0,1
1.0617762,3.2567005,0.20493358,0.079696395,0.2761049,0.25930828,0.018591251,-0.48703372,2.1576169,0.00044989158,-5.24534,4.534127,0.00016475894,-4.4477873,-0.390451,19.098055,0.16349602,743.8128,43.288757,1.0007707,35.981327,371.9064,31.060064,1549.61,30.649647,0.9998021,29.518948,31.617525,0.022201538,0.011451721,1.4423416,4.652828,-1.1882086,0.41475257,0.800244,18.740454,0.027223028,0.27584073,0.21797764,0.121442124,0.5220254,0.2695947,19.346739,2.018569,1e-04,789.864,3.9873152,649208300017781,0.0,1.0,0.0,0.0,1
1.0827017,3.7243507,0.1023166,0.034749035,0.16009086,0.15815666,-0.39648908,-0.72294444,17.38747,-0.0007230457,-5.15057,3.3889632,-0.00017265732,-4.611516,-0.5679673,19.72861,0.09340668,2072.9097,16.994612,455.02896,16.882696,0.99776375,15.510506,0.9951559,15.420859,166.5731,15.056095,14.686286,0.043582916,0.017551422,1.6461525,3.9081342,-2.0047097,0.28290594,0.5979909,19.419382,0.11035494,0.40764612,0.15091716,0.032818533,0.4727496,0.21590294,19.474886,1.6100209,44193.17,1e-04,2.9934688,781205300007093,0.0,1.0,0.0,0.0,1
1.1925411,3.7390215,0.17997098,0.06386067,0.24302994,0.23346019,-0.12672058,-0.5712141,5.2111983,0.0004644684,-5.2665,4.6562,0.00018366,-4.5347285,-0.44168228,19.205036,0.1276722,1702.472,38.015915,780.2996,36.070316,0.9988901,30.434055,567.49066,29.603415,0.99958324,28.475136,34.27236,0.019229889,0.008308411,1.7773043,4.7517214,-1.4755377,0.37169075,0.72372353,18.835983,-0.011481452,0.38274765,0.1842743,0.10885341,0.52422124,0.27169204,16.515959,0.15365048,3.026758,28.444437,2.355952,782207100035408,0.0,1.0,0.0,0.0,1
