ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23aajaygo,726212400007907,SN2023hyv,18:20:30.14,+41:00:59.7,2085.87,g,18.5368,-19.28,22.406,9.343,13.063,SN Ia,0.08,22.93093217,0.086
ZTF23aajakys,1722210100037924,SN2023hxp,17:06:16.80,+38:23:34.2,2087.86,r,18.6493,-17.21,24.928,10.692,14.236,SN Ic,0.0328,36.30891756,0.123
ZTF23aaizmza,422207100019965,SN2023hta,12:17:18.80,-03:16:18.2,2083.7,g,18.1462,-19.31,>24.146,>9.87,14.276,SN Ia,0.067,58.50458826,0.107
ZTF23aaizjbj,477215200018296,SN2023hss,14:05:09.08,+07:53:42.8,2081.8,g,17.9502,-19.22,>22.445,>7.99,14.455,SN Ia,0.06,64.02434335,0.068
ZTF23aaiytpy,674202300037369,SN2023hrw,13:39:32.94,+29:59:51.2,2085.83,g,16.5488,-19.37,22.506,8.357,14.149,SN Ia,0.0344,79.05972299,0.047
ZTF23aaiypww,577208400020276,SN2023ifn,12:46:56.57,+17:18:33.9,2081.83,g,18.7754,-19.25,>17.675,5.705,>11.97,SN Ia,0.08798,80.1262892,0.078
ZTF23aaiwxqy,375212400033991,SN2023hzf,14:19:50.10,-09:18:00.6,2084.82,g,17.1169,-19.83,23.563,9.033,14.53,SN Ia,0.052,47.73774659,0.143
ZTF23aaiwvdh,848212100012810,SN2023hui,17:13:47.59,+70:34:46.8,2084.86,g,17.078,-19.34,24.442,8.715,15.727,SN Ia,0.042,33.52771187,0.094
ZTF23aaiwunc,724209300014802,SN2023hrr,17:38:32.95,+40:49:16.4,2083.8,r,17.7066,-18.87,24.817,9.741,15.076,SN Ia,0.046,30.5762592,0.093
ZTF23aaiwlzm,677214100023272,SN2023hpr,15:15:58.71,+36:25:37.7,2078.77,r,18.2655,-19.24,21.791,6.635,15.156,SN Ia,0.071,58.11435943,0.058
ZTF23aaiwfuq,627207100025360,AT2023hpw,13:33:28.20,+25:32:41.9,2078.83,g,18.1555,-19.07,>10.063,>1.91,8.153,SN Ia,0.06308,80.45358576,0.03
