oid,is_sn,sn_score
401202200003642,0,1.0000001
401209400005925,1,0.9400001
401208100020608,0,0.9300001
401215300016898,0,0.8900002
401208100003331,0,0.83000004
401216300019782,0,0.82
401207200028521,0,0.7800001
401208100003405,0,0.78
401208100000403,0,0.77
401208100003534,0,0.76
401210400007569,0,0.75
401201200040424,0,0.74
401216400024684,0,0.73
401207400010240,0,0.7099999
401215200028175,0,0.7
401207400024072,0,0.69
401216200025556,0,0.68999994
401204300038668,1,0.68999994
401214400021362,0,0.6799999
401213200018599,0,0.66999996
401213400008908,0,0.6699999
401208400017294,0,0.6699999
401204100024100,0,0.65
401206200033315,0,0.64999986
401209300022842,0,0.64999986
401212200016697,1,0.64
401207100017439,0,0.6399999
401210100020339,0,0.63
401208100003503,0,0.63
401214100023054,0,0.63
