oid,is_sn,sn_score
848210400015993,1.0,0.9900001
848209300022779,1.0,0.9700001
848203200007837,0.0,0.96000016
848203300015223,1.0,0.95000017
848214100001697,1.0,0.9500001
848202300010602,0.0,0.9200001
848202400008945,0.0,0.91000015
848205200004583,0.0,0.9100001
848206400012744,1.0,0.9100001
848216200012977,0.0,0.89000005
848202200026295,0.0,0.85
848202400015933,0.0,0.8499999
848202300021593,0.0,0.84000003
848201100025658,0.0,0.84000003
848203200013230,0.0,0.8300001
848208100009153,0.0,0.82000005
848203300023384,0.0,0.81000006
848205100024455,0.0,0.81000006
848207100015626,0.0,0.80999994
848203200008204,0.0,0.7900001
848205200004552,0.0,0.79
848204300027051,0.0,0.78000003
848202300028546,0.0,0.77000004
848202100025239,0.0,0.77
848207100019799,0.0,0.75999993
848209300016867,1.0,0.75
848201100005769,0.0,0.75
848205200014047,0.0,0.74999994
848203100018040,0.0,0.74000007
848202200021157,0.0,0.74
