oid,is_sn,sn_score
797201400005363,0.0,0.97000015
797215100001962,0.0,0.95000017
797202200009024,1.0,0.92
797214200000406,0.0,0.90000015
797205100019804,1.0,0.8800001
797215100011096,1.0,0.88000005
797207400018899,1.0,0.87
797207100005767,1.0,0.8600001
797201200020891,0.0,0.86
797204400013803,0.0,0.83000004
797204400027730,0.0,0.82
797202200017896,0.0,0.80999994
797201300027447,0.0,0.8000001
797215100011412,0.0,0.8
797205300029098,0.0,0.8
797212300020486,0.0,0.7900001
797201400001550,0.0,0.7900001
797212200008569,0.0,0.78000003
797208100021829,0.0,0.78
797215100000660,1.0,0.77000004
797216200029302,0.0,0.75999993
797216300030896,0.0,0.75
797201300013372,0.0,0.75
797208100019388,0.0,0.75
797201200030339,0.0,0.7499999
797215100011474,0.0,0.7499999
797201400011612,0.0,0.74
797201400024121,0.0,0.73999995
797211100018755,1.0,0.73
797202200018637,1.0,0.73
