oid,is_sn,sn_score
626201400018214,0.0,0.83
626210100000208,0.0,0.8000001
626212200016660,0.0,0.78000003
626210200007274,0.0,0.75999993
626212400018009,0.0,0.72999996
626210200000051,0.0,0.72
626213200000284,0.0,0.67
626205200019743,0.0,0.65999997
626210200000175,0.0,0.63
626203300020664,0.0,0.5999999
626210200000254,0.0,0.59
626201300028552,0.0,0.5799999
626210200000022,0.0,0.5799999
626210200000117,0.0,0.56
626212200013315,0.0,0.55999994
626216200024701,0.0,0.55999994
626209200025082,0.0,0.53999996
626210200016994,0.0,0.53999996
626205200002584,0.0,0.53
626210200020837,0.0,0.5299999
626206200034210,0.0,0.52
626204400009334,1.0,0.51000005
626210300036848,0.0,0.51
626216200018306,0.0,0.51
626202300002608,0.0,0.50000006
626209200009707,0.0,0.5
626212400008560,0.0,0.48000002
626203300034682,0.0,0.48
626214300035093,0.0,0.47000003
626213400017594,0.0,0.47
