oid,is_sn,sn_score
468204200008777,0,0.74
468216200017604,0,0.60999995
468212400037460,0,0.5899999
468216200023512,0,0.57999986
468216200031587,0,0.55
468204400015555,0,0.51
468214400005577,0,0.49999997
468205100011993,0,0.49
468216200032134,0,0.47000006
468211300004061,0,0.47000003
468212200022623,0,0.45999998
468202100007770,0,0.45000002
468205300033691,0,0.45
468206400022177,0,0.43000004
468216200032116,0,0.43
468214100008771,1,0.42999998
468205300031448,0,0.42
468208100012360,0,0.41000003
468216100031883,0,0.39000002
468206400009911,0,0.39
468204200032532,0,0.38000003
468216200017497,0,0.37
468205200020792,0,0.36
468205400000112,0,0.33000004
468208400021194,0,0.32999995
468209200012059,0,0.32
468208200029450,0,0.32
468206300015231,0,0.32
468208400026202,0,0.32
468210100008019,0,0.31999996
