oid,is_sn,sn_score
718214200003467,1.0,0.98000014
718213200000113,1.0,0.96000016
718205100000562,1.0,0.92000014
718208200006505,1.0,0.90000015
718205300010328,1.0,0.88000005
718208300039946,1.0,0.8700001
718213200022122,0.0,0.8500001
718213200017634,1.0,0.84999996
718210300018636,0.0,0.84999996
718204300027321,0.0,0.82000005
718206300010750,0.0,0.81
718203200031466,0.0,0.78
718202200032598,0.0,0.75
718204300024358,0.0,0.74
718203200031857,0.0,0.72999996
718209100022444,1.0,0.71000004
718210200015577,0.0,0.71
718210200017517,0.0,0.7099999
718203300023703,0.0,0.70999986
718207400018424,0.0,0.69999987
718216200034898,0.0,0.69
718207300028280,0.0,0.69
718208100022880,0.0,0.69
718204300024321,0.0,0.69
718203200032573,0.0,0.6899999
718208100006098,0.0,0.68000007
718203100021520,0.0,0.67999995
718206200000511,0.0,0.67999995
718204100027151,0.0,0.66999984
718203300036777,0.0,0.65999997
