oid,is_sn,sn_score
759204200025851,0.0,0.9300001
759215300001441,0.0,0.77
759214200022530,1.0,0.76
759215300007350,0.0,0.74
759215100014932,0.0,0.73
759204300021220,0.0,0.73
759202400002096,0.0,0.72999996
759209300030421,1.0,0.72999996
759216200034950,0.0,0.7199999
759206200028873,0.0,0.71
759215300030647,0.0,0.7099999
759214100034903,0.0,0.70000005
759216200034658,0.0,0.69
759215300023328,0.0,0.6899999
759204300032417,0.0,0.67999995
759213100020849,0.0,0.66999996
759216200013594,0.0,0.6599999
759213100033704,0.0,0.6399999
759202200019454,1.0,0.63999987
759215100024333,0.0,0.63
759208100034780,0.0,0.6299999
759208100035518,0.0,0.62
759208200006096,0.0,0.60999995
759204300036901,0.0,0.60999995
759204400036892,0.0,0.5999999
759215300007374,0.0,0.59999985
759215200019987,0.0,0.59
759215300030982,0.0,0.59
759216200035010,0.0,0.59
759215300020731,0.0,0.56
