oid,is_sn,sn_score
673204400040012,1.0,0.82000005
673205200004770,0.0,0.80999994
673204200019548,0.0,0.8000001
673212400012293,0.0,0.77
673216300039006,1.0,0.77
673216400015373,1.0,0.76
673206200007744,0.0,0.7499999
673205200015700,0.0,0.73999995
673206400012763,0.0,0.72999996
673207400007094,1.0,0.72999996
673205300023587,1.0,0.72999996
673202400011938,0.0,0.7099999
673212100007244,1.0,0.7
673202400008754,0.0,0.6999999
673203200007193,0.0,0.69000006
673201300009032,0.0,0.66999996
673202400009339,0.0,0.6499999
673214400014141,0.0,0.63
673206100006220,0.0,0.63
673201100017863,0.0,0.63
673205200031830,0.0,0.62999994
673206400013762,0.0,0.62
673204100029912,0.0,0.61999995
673212400015617,0.0,0.6199999
673203100030426,0.0,0.61
673203200038177,0.0,0.6
673205400027927,0.0,0.5999999
673206100020519,0.0,0.59
673202200017921,0.0,0.59
673215300010303,0.0,0.5799999
