oid,is_sn,sn_score
795211300006652,1,0.9100001
795203100035497,1,0.84000003
795208100021132,0,0.83000004
795206400014008,1,0.83
795216100015200,1,0.81
795201100034895,1,0.8099999
795204300026593,0,0.8
795202300019013,0,0.7699999
795214100031099,0,0.74
795213100027773,1,0.71999997
795201400030213,0,0.68000007
795205200036229,0,0.68
795204200016573,0,0.68
795204200027632,0,0.6599999
795211400006662,0,0.64
795209200020533,0,0.62999994
795201300024680,0,0.62999994
795211300025141,0,0.6299999
795212300023135,0,0.6199998
795208100006903,1,0.59999996
795212400014469,0,0.5999999
795211100008207,1,0.5899999
795203300014076,0,0.5899999
795214400021714,0,0.58999985
795211400037561,0,0.58000004
795204200008313,0,0.5799999
795213100029609,0,0.56999993
795214200036189,0,0.56000006
795201400016364,0,0.55999994
795202300033309,0,0.53
