oid,is_anomaly
718201400001072,0
718213200001210,0
718211400004039,0
718207300040306,0
718213200039543,0
718208200002291,0
718205100002444,0
718211100007481,0
718207400036704,0
718215200006386,1
718201400023457,0
718204300003242,0
718201400021728,0
718207200008389,0
718215200005800,0
718216100009469,0
718212100013247,0
718207300038005,0
718213300006279,0
718212200006001,0
718213100003548,0
718206400002554,0
718215300012149,0
718213200004461,0
718215100000377,0
718213100005276,0
718204100004900,0
718211200027299,0
718205300001790,1
718211400022194,0
